abrt,
acpid,
at,
autofs,
bind,4219-2 
certmonger,
cpuspeed,
cups,
cyrus-sasl,
dbus,
dhcp,4464-4 
dovecot,4239-0
hal,
httpd,4514-6 
inetd,4023-8
irda-utils,17504-2
isdn4k-utils,14825-4
kexec-tools,
libcgroup,
mdadm,
net-snmp,4404-0
nfs-utils,
oddjob,
openldap,
openssh-server,
pam_ccreds,17250-2 
portreserve,
quota,
rpcbind,
rsh,4308-3
rsh-server,
samba-common,
samba,
sendmail,14495-6
smartmontools,
squid,4076-6
sssd,
sysstat,
talk,18200-6
talk-server,18151-1
telnet-server,4330-7
tftp-server,3916-4
vlock,3910-7
vsftpd,14881-7
xinetd,4164-0
ypbind,
ypserv,
